car_dealership,price,city,brand,model,release_date,type_of_ban,color,distance,gearbox,gear,is_new,views,owners,market,seats,Yüngül lehimli disklər,ABS,Lyuk,Yağış sensoru,Mərkəzi qapanma,Park radarı,Kondisioner,Oturacaqların isidilməsi,Dəri salon,Ksenon lampalar,Arxa görüntü kamerası,Yan pərdələr,Oturacaqların ventilyasiyası,engine_power,horsepower,fuel,condition_1,condition_2,day,month,year
0,7500.0,Quba,Nissan,Maxima,2003,Sedan,Yaş Asfalt,292000,Avtomat,Ön,0,228,3,Avropa,5,1,1,0,0,1,0,1,0,0,1,0,1,0,3,200,Benzin,0,0,28,5,2023
0,14600.0,Bakı,Nissan,Note,2013,Hetçbek,Ağ,64000,Variator,Ön,0,289,1,Yaponiya,5,1,1,0,1,1,0,1,0,1,0,1,1,0,1,98,Benzin,0,0,27,5,2023
1,26900.0,Sumqayıt,Hyundai,ix35,2012,Offroader / SUV,Ağ,178130,Avtomat,Tam,0,369,1,Rəsmi diler,5,1,1,1,1,1,1,1,1,1,1,1,1,0,2,163,Benzin,0,0,26,5,2023
0,71060.0,Bakı,Toyota,Land Cruiser,2012,Offroader / SUV,Ağ,162500,Avtomat,Tam,0,340,1,Rəsmi diler,7,1,1,1,1,1,1,1,1,1,1,1,1,1,4,282,Benzin,0,0,28,5,2023
0,76500.0,Bakı,Mercedes,S 500,2013,Sedan,Qara,162500,Avtomat,Arxa,0,22684,2,Avropa,5,1,1,1,1,1,1,1,1,1,1,1,1,1,4,435,Benzin,0,0,28,5,2023
0,8500.0,Bakı,Ravon,Nexia R3,2017,Sedan,Göy,271480,Mexaniki,Ön,0,538,2,Rəsmi diler,5,1,1,0,1,1,0,1,0,0,1,0,1,1,1,107,Benzin,0,0,27,5,2023
0,23500.0,Bakı,Chevrolet,Cruze,2016,Sedan,Gümüşü,145000,Avtomat,Ön,0,832,1,Amerika,5,1,1,0,0,1,0,1,0,1,1,0,0,0,1,153,Benzin,0,0,26,5,2023
1,50150.0,Sumqayıt,Land Rover,RR Evoque,2015,Offroader / SUV,Qara,207000,Avtomat,Tam,0,3334,1,Rəsmi diler,5,1,1,1,1,1,1,1,1,1,1,1,1,1,2,240,Benzin,0,0,27,5,2023
1,21900.0,Bakı,Hyundai,Sonata,2011,Sedan,Qara,190239,Avtomat,Ön,0,845,1,Rəsmi diler,5,1,1,1,1,1,1,1,1,1,1,0,1,1,2,178,Benzin,0,0,27,5,2023
0,5400.0,Bakı,Opel,Astra,1997,Universal,Yaşıl,355670,Mexaniki,Ön,0,3538,1,Avropa,5,1,1,0,0,1,0,1,0,0,0,0,1,0,1,75,Benzin,0,0,27,5,2023
0,61030.0,Bakı,BMW,430,2019,Liftbek,Ağ,22000,Avtomat,Tam,0,15154,1,Digər,5,1,1,1,1,1,1,1,1,1,1,1,1,1,2,249,Benzin,0,0,27,5,2023
1,114750.0,Bakı,Toyota,Highlander,2022,Offroader / SUV,Ağ,0,Avtomat,Ön,0,304,1,Dubay,7,1,1,1,1,1,1,1,1,1,1,1,1,1,2,249,Hibrid,0,0,28,5,2023
1,21900.0,Bakı,LADA (VAZ),Niva,2021,Offroader / SUV,Qara,18100,Mexaniki,Tam,0,6998,1,Rəsmi diler,7,1,1,0,0,1,0,1,1,0,0,0,0,0,1,80,Benzin,0,0,19,5,2023
0,33000.0,Bakı,Hyundai,Elantra,2018,Sedan,Gümüşü,93000,Avtomat,Ön,0,1693,1,Amerika,5,1,1,1,1,1,0,1,1,1,1,1,0,1,1,204,Benzin,0,0,28,5,2023
0,4400.0,Salyan,LADA (VAZ),2115,2003,Sedan,Gümüşü,194346,Mexaniki,Ön,0,6908,1,Rəsmi diler,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,98,Benzin,0,0,28,5,2023
1,24900.0,Bakı,Hyundai,Elantra,2016,Sedan,Gümüşü,60000,Avtomat,Ön,0,355,1,Koreya,5,1,1,0,1,1,1,1,0,0,0,0,0,0,1,128,Benzin,0,0,26,5,2023
1,52320.9,Bakı,Honda,e:NS1,2022,Offroader / SUV,Ağ,0,Avtomat,Ön,0,9716,1,Avropa,7,1,1,1,1,1,1,1,1,1,1,1,0,1,0,204,Elektro,0,0,26,5,2023
1,221000.0,Bakı,Mercedes,GLE 53 AMG,2022,Offroader / SUV,Qara,12000,Avtomat,Tam,0,693,1,Rəsmi diler,5,1,1,1,1,1,1,1,1,1,1,1,1,1,3,435,Benzin,0,0,28,5,2023
0,45050.0,Bakı,Mercedes,GLK 350,2014,Offroader / SUV,Ağ,72000,Avtomat,Tam,0,384,1,Rəsmi diler,5,1,1,1,1,1,1,1,1,1,1,1,1,0,3,306,Benzin,0,0,28,5,2023
0,16900.0,Bakı,Mercedes,C 250,2007,Sedan,Ağ,300000,Avtomat,Arxa,0,655,2,Amerika,5,1,1,1,1,1,0,1,1,1,1,1,1,1,2,204,Benzin,0,0,26,5,2023
1,38930.0,Bakı,BMW,528,2015,Sedan,Yaş Asfalt,115000,Avtomat,Arxa,0,969,1,Amerika,5,1,1,1,1,1,1,1,1,1,1,1,0,0,2,245,Benzin,0,0,28,5,2023
0,29500.0,Bakı,Mercedes,E 220,2012,Sedan,Qara,250000,Avtomat,Arxa,0,1724,2,Avropa,5,1,1,1,1,1,1,1,1,1,1,1,0,0,2,170,Dizel,0,0,28,5,2023
0,26800.0,Bakı,Hyundai,Sonata,2015,Sedan,Qara,219916,Avtomat,Ön,0,358,1,Rəsmi diler,4,1,1,1,1,1,1,1,1,1,1,1,1,1,2,188,Benzin,0,0,25,5,2023
1,23500.0,Bakı,Lexus,CT 200h,2013,Hetçbek,Ağ,180000,Variator,Ön,0,17199,1,Amerika,5,1,1,1,1,1,1,1,1,1,1,1,0,1,1,99,Hibrid,0,0,26,5,2023
1,22450.0,Bakı,Chevrolet,Nexia,2023,Sedan,Ağ,0,Avtomat,Ön,0,15642,1,Avropa,5,1,1,0,0,1,0,1,0,0,0,0,0,0,1,106,Benzin,0,0,27,5,2023
0,17400.0,Bakı,Hyundai,i30,2011,Universal,Qara,173000,Mexaniki,Ön,0,994,2,Avropa,5,1,1,0,1,1,0,1,1,0,1,0,1,0,1,116,Dizel,0,0,25,5,2023
0,20000.0,Bakı,Kia,Rio,2015,Sedan,Gümüşü,84999,Avtomat,Ön,0,4430,1,Amerika,5,1,1,0,1,1,1,1,0,0,1,0,0,0,1,123,Benzin,0,0,27,5,2023
1,106930.0,Sumqayıt,Toyota,Land Cruiser,2018,Offroader / SUV,Qara,66000,Avtomat,Tam,0,575,1,Rəsmi diler,7,1,1,1,1,1,1,1,1,1,1,1,1,1,4,282,Benzin,0,0,26,5,2023
0,17200.0,Bakı,Mercedes,E 240,2004,Sedan,Qara,343608,Avtomat,Arxa,0,866,2,Avropa,5,1,1,1,1,1,1,1,1,1,1,0,1,1,2,177,Benzin,0,0,27,5,2023
1,20900.0,Bakı,Chevrolet,Malibu,2016,Sedan,Yaş Asfalt,143000,Avtomat,Ön,0,1982,1,Amerika,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,160,Benzin,0,0,28,5,2023
0,6700.0,Ağdaş,LADA (VAZ),21099,2003,Sedan,Gümüşü,310000,Mexaniki,Ön,0,1223,2,Rusiya,5,1,1,0,0,1,0,0,0,0,1,0,1,0,1,75,Benzin,0,1,26,5,2023
0,15600.0,Bakı,Kia,Ceed,2009,Universal,Qara,255000,Mexaniki,Ön,0,203,2,Avropa,5,1,1,0,1,1,0,1,0,0,0,0,0,0,1,115,Dizel,0,0,28,5,2023
0,18500.0,Bakı,Kia,Optima,2011,Sedan,Ağ,204387,Avtomat,Ön,0,415,1,Amerika,5,1,1,1,1,1,1,1,1,1,1,1,1,1,2,274,Benzin,0,0,28,5,2023
